strategy,cumulative_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,max_drawdown,max_drawdown_duration
fixed_a2c,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
fixed_ppo,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
fixed_ddpg,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
fixed_sac,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
fixed_td3,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
fixed_uniform,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
Best Fixed,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
Recent Gating,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
T-VAE,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
Proposed RAG,0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
Return-Only (lambda=0),0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
Risk-Aware (lambda=0.5),0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
NR (No Retrieval),0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
R-LLM (No LLM),0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
R+L-NoU (No Uncertainty),0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
Full (R+L+U),0.107806,0.035975,0.113156,0.3689,0.6197,-0.136936,161.0
